Code INSEE;Code Postal;Commune
77010;77720;AUBEPIERRE-OZOUER-LE-REPOS
77394;77950;RUBELLES
93055;93500;PANTIN
91393;91780;MEROBERT
92007;92220;BAGNEUX
78646;78000;VERSAILLES
91145;91410;CHATIGNONVILLE
77440;77260;SAMMERON
92073;92150;SURESNES
91433;91150;MORIGNY-CHAMPIGNY
78391;78270;MERICOURT
94074;94460;VALENTON
77446;77650;SAVINS
91613;91740;CONGERVILLE-THIONVILLE
91315;91760;ITTEVILLE
77091;77610;LES CHAPELLES-BOURBON
77011;77570;AUFFERVILLE
77313;77940;MONTMACHOUX
91274;91400;GOMETZ-LA-VILLE
93045;93260;LES LILAS
78413;78980;MONDREVILLE
78089;78270;BONNIERES-SUR-SEINE
94021;94550;CHEVILLY-LARUE
77293;77130;MISY-SUR-YONNE
78009;78660;ALLAINVILLE
91634;91640;VAUGRIGNEUSE
77357;77970;PECY
94053;94880;NOISEAU
77122;77380;COMBS-LA-VILLE
91075;91150;BOIS-HERPIN
78551;78100;SAINT-GERMAIN-EN-LAYE
95529;95340;RONQUEROLLES
92022;92370;CHAVILLE
95554;95420;SAINT-GERVAIS
77276;77100;MAREUIL-LES-MEAUX
78283;78113;GRANDCHAMP
95213;95810;EPIAIS-RHUS
77434;77480;SAINT-SAUVEUR-LES-BRAY
78158;78150;LE CHESNAY
95555;95210;SAINT-GRATIEN
78548;78720;SAINT-FORGET
95282;95450;GOUZANGREZ
78439;78790;MULCENT
78350;78430;LOUVECIENNES
77468;77200;TORCY
78380;78580;MAULE
78335;78520;LIMAY
77489;77710;VAUX-SUR-LUNAIN
77443;77580;SANCY
78227;78740;EVECQUEMONT
94037;94250;GENTILLY
78015;78570;ANDRESY
91223;91150;ETAMPES
77100;77820;LE CHATELET-EN-BRIE
78113;78440;BRUEIL-EN-VEXIN
77270;77580;MAISONCELLES-EN-BRIE
77523;77480;VILLUIS
77409;77130;SAINT-GERMAIN-LAVAL
77095;77410;CHARNY
91292;91630;GUIBEVILLE
78202;78440;DROCOURT
77232;77450;ISLES-LES-VILLENOY
78562;78610;SAINT-LEGER-EN-YVELINES
77170;77250;EPISY
77185;77930;FLEURY-EN-BIERE
77039;77350;BOISSISE-LA-BERTRAND
95541;95770;SAINT-CLAIR-SUR-EPTE
95582;95110;SANNOIS
95308;95300;HEROUVILLE
91479;91550;PARAY-VIEILLE-POSTE
78289;78490;GROSROUVRE
95388;95180;MENUCOURT
91067;91150;BLANDY
